date,new_cases,new_deaths
2020/1/23,95,1
2020/1/24,277,8
2020/1/25,486,16
2020/1/26,669,14
2020/1/27,802,26
2020/1/28,2632,49
2020/1/29,578,2
2020/1/30,2054,38
2020/1/31,1661,42
2020/2/1,2089,46
2020/2/2,4739,102
2020/2/3,3086,64
2020/2/4,3991,66
2020/2/5,3733,72
2020/2/6,3147,70
2020/2/7,3523,85
2020/2/8,2704,87
2020/2/9,3015,100
2020/2/10,2525,107
2020/2/11,2032,100
2020/2/12,373,5
2020/2/14,6463,152
2020/2/15,2055,142
2020/2/16,2100,103
2020/2/17,1921,98
2020/2/18,1777,139
2020/2/19,408,113
2020/2/20,458,122
2020/2/21,473,0
2020/2/22,1451,205
2020/2/23,21,2
2020/2/24,219,150
2020/2/25,513,70
2020/2/26,412,52
2020/2/27,434,29
2020/2/28,328,44
2020/2/29,428,47
2020/3/1,576,35
2020/3/2,204,42
2020/3/3,125,33
2020/3/4,125,36
2020/3/5,151,32
2020/3/6,153,29
2020/3/7,80,28
2020/3/8,53,28
2020/3/9,37,23
2020/3/10,27,16
2020/3/11,34,22
2020/3/12,11,11
2020/3/13,13,8
2020/3/14,32,13
2020/3/15,26,10
2020/3/16,30,14
2020/3/17,25,13
2020/3/18,44,11
2020/3/19,54,8
2020/3/20,94,4
2020/3/21,55,6
2020/3/22,130,15
2020/3/23,63,0
2020/3/24,93,7
2020/3/25,70,4
2020/3/26,121,6
2020/3/27,115,5
2020/3/28,102,3
2020/3/29,123,5
2020/3/30,76,4
2020/3/31,81,1
2020/4/1,82,7
2020/4/2,71,6
2020/4/3,79,4
2020/4/4,32,4
2020/4/5,59,3
2020/4/6,63,2
2020/4/7,53,0
2020/4/8,91,2
2020/4/9,74,2
2020/4/10,58,1
2020/4/11,73,3
2020/4/12,120,0
2020/4/13,79,2
2020/4/14,93,0
2020/4/15,50,1
2020/4/16,47,0
2020/4/17,357,1290
2020/4/18,27,0
2020/4/19,18,0
2020/4/20,12,0
2020/4/21,36,0
2020/4/22,15,0
2020/4/23,16,0
2020/4/24,15,0
2020/4/25,10,0
2020/4/26,3,1
2020/4/27,6,0
2020/4/28,22,0
2020/4/29,4,0
2020/4/30,12,0
2020/5/1,3,0
2020/5/2,0,0
2020/5/3,5,0
2020/5/4,2,0
2020/5/5,2,0
2020/5/6,2,0
2020/5/7,5,0
2020/5/8,1,0
2020/5/9,14,0
2020/5/10,20,0
2020/5/11,1,0
2020/5/12,7,0
2020/5/13,6,0
2020/5/14,5,0
2020/5/15,9,0
2020/5/16,6,1
2020/5/17,10,0
2020/5/18,9,0
2020/5/19,0,0
2020/5/20,0,0
2020/5/21,0,0
2020/5/22,18,0
2020/5/23,3,0
2020/5/24,11,0
2020/5/25,7,0
2020/5/26,1,0
2020/5/27,3,0
2020/5/28,0,0
2020/5/29,17,0
2020/5/30,5,0
2020/5/31,18,0
2020/6/1,8,0
2020/6/2,7,0
2020/6/3,-1,0
2020/6/4,11,0
2020/6/5,6,0
2020/6/6,9,0
2020/6/7,5,0
2020/6/8,4,0
2020/6/9,3,0
2020/6/10,11,0
2020/6/11,7,0
2020/6/12,12,0
2020/6/13,58,0
2020/6/14,49,0
2020/6/15,43,0
2020/6/16,44,0
2020/6/17,36,0
2020/6/18,36,0
2020/6/19,0,0
2020/6/20,59,1
2020/6/21,19,0
2020/6/22,52,0
2020/6/23,29,1
2020/6/24,20,0
2020/6/25,28,1
2020/6/26,24,0
2020/6/27,18,0
2020/6/28,14,0
2020/6/29,23,0
2020/6/30,5,0
2020/7/1,31,0
2020/7/2,14,0
2020/7/3,8,0
2020/7/4,19,0
2020/7/5,14,0
2020/7/6,18,0
2020/7/7,28,0
2020/7/8,33,0
2020/7/9,42,0
2020/7/10,0,0
2020/7/11,79,0
2020/7/12,46,0
2020/7/13,0,0
2020/7/14,109,1
2020/7/15,20,2
2020/7/16,81,0
2020/7/17,75,1
2020/7/18,16,1
2020/7/19,85,0
2020/7/20,119,0
2020/7/21,86,2
2020/7/22,198,0
2020/7/23,139,1
2020/7/24,157,1
2020/7/25,179,2
2020/7/26,189,0
2020/7/27,213,4
2020/7/28,207,1
2020/7/29,223,1
2020/7/30,276,1
2020/7/31,166,2
2020/8/1,172,6
2020/8/2,158,2
2020/8/3,114,3
2020/8/4,107,4
2020/8/5,122,1
2020/8/6,132,3
2020/8/7,120,1
2020/8/8,92,0
2020/8/9,121,5
2020/8/10,113,3
2020/8/11,52,4
2020/8/12,87,4
2020/8/13,99,3
2020/8/14,70,1
2020/8/15,65,2
2020/8/16,96,0
2020/8/17,66,0
2020/8/18,53,2
2020/8/19,33,1
2020/8/20,40,3
2020/8/21,49,0
2020/8/22,38,2
2020/8/23,41,0
2020/8/24,23,0
2020/8/25,34,1
2020/8/26,32,1
2020/8/27,30,2
2020/8/28,22,3
2020/8/29,27,3
2020/8/30,32,1
2020/8/31,19,1
2020/9/1,19,1
2020/9/2,20,3
2020/9/3,33,1
2020/9/4,22,0
2020/9/5,17,0
2020/9/6,33,2
2020/9/7,20,2
2020/9/8,9,1
2020/9/9,13,0
2020/9/10,27,0
2020/9/11,18,0
2020/9/12,23,1
2020/9/13,29,0
2020/9/14,22,1
2020/9/15,16,1
2020/9/16,18,0
2020/9/17,41,0
2020/9/18,17,1
2020/9/19,23,0
2020/9/20,35,0
2020/9/21,12,0
2020/9/22,18,0
2020/9/23,10,1
2020/9/24,15,0
2020/9/25,17,1
2020/9/26,15,0
2020/9/27,27,0
2020/9/28,22,0
2020/9/29,23,0
2020/9/30,17,0
2020/10/1,22,0
2020/10/2,17,0
2020/10/3,20,0
2020/10/4,25,0
2020/10/5,23,0
2020/10/6,15,0
2020/10/7,20,0
2020/10/8,41,0
2020/10/9,23,0
2020/10/10,27,0
2020/10/11,34,0
2020/10/12,18,0
2020/10/13,28,0
2020/10/14,11,0
2020/10/15,36,0
2020/10/16,20,0
2020/10/17,30,0
2020/10/18,17,0
2020/10/19,34,0
2020/10/20,16,0
2020/10/21,22,0
2020/10/22,29,0
2020/10/23,35,0
2020/10/24,20,0
2020/10/25,23,0
2020/10/26,24,0
2020/10/27,47,0
2020/10/28,49,0
2020/10/29,28,0
2020/10/30,40,0
2020/10/31,27,0
2020/11/1,31,0
2020/11/2,55,0
2020/11/3,26,0
2020/11/4,31,1
2020/11/5,43,1
2020/11/6,39,0
2020/11/7,31,0
2020/11/8,43,0
2020/11/9,28,0
2020/11/10,26,1
2020/11/11,33,0
2020/11/12,31,0
2020/11/13,24,0
2020/11/14,21,0
2020/11/15,22,0
2020/11/16,22,0
2020/11/17,13,0
2020/11/18,21,0
2020/11/19,29,0
2020/11/20,42,0
2020/11/21,60,0
2020/11/22,79,0
2020/11/23,95,0
2020/11/24,85,0
